ux_l,ux_r,uy_t,uy_b
 -0.0, 5.004992655212001e-07, 5.004992655222583e-07, -0.0
 -0.0, 2.3494695368351975e-06, 3.5939572006823502e-06, 5.9434287780768154e-06
 -0.0, 1.1049769002821533e-06, 2.4889626933926505e-06, 3.5939572006823502e-06
 -0.0, 6.049604711741627e-07, 1.8839759119244173e-06, 2.4889626933926505e-06
 -0.0, 3.728738306387777e-07, 1.511067441279266e-06, 1.8839759119244173e-06
 -0.0, 2.507546813651031e-07, 1.2602733867401137e-06, 1.511067441279266e-06
 -0.0, 1.7967121644410103e-07, 1.080556927280663e-06, 1.2602733867401137e-06
 -0.0, 1.349229035277441e-07, 9.455818485398989e-07, 1.080556927280663e-06
 -0.0, 1.0499897113447316e-07, 8.405317119164945e-07, 9.455818485398989e-07
 -0.0, 8.40207777905246e-08, 7.564534840549389e-07, 8.405317119164945e-07
 -0.0, 6.875231078121705e-08, 6.876402655820348e-07, 7.564534840549389e-07
 -0.0, 5.72962216577795e-08, 6.302822299893088e-07, 6.876402655820348e-07
 -0.0, 4.848124972317268e-08, 5.817378471537183e-07, 6.302822299893088e-07
 -0.0, 4.155465992674788e-08, 5.401173522683359e-07, 5.817378471537183e-07
 -0.0, 3.6013276730559354e-08, 5.040372174272222e-07, 5.401173522683359e-07
 -0.0, 3.151066913478126e-08, 4.724630499899158e-07, 5.040372174272222e-07
 -0.0, 2.780195477472735e-08, 4.4459821515748564e-07, 4.724630499899158e-07
 -0.0, 2.4711607465048342e-08, 4.198191366755615e-07, 4.4459821515748564e-07
 -0.0, 2.2109532357407528e-08, 3.976464929463665e-07, 4.198191366755615e-07
 -0.0, 1.9897739940786835e-08, 3.776884849343033e-07, 3.976464929463665e-07
 -0.0, 1.8002985946481396e-08, 3.596276000903825e-07, 3.776884849343033e-07
 -0.0, 1.6365986359033183e-08, 3.4320122329736817e-07, 3.596276000903825e-07
 -0.0, 1.494250504027704e-08, 3.2820387795726367e-07, 3.4320122329736817e-07
 -0.0, 1.3697457375411749e-08, 3.1445711634121753e-07, 3.2820387795726367e-07
 -0.0, 1.2601925347207123e-08, 3.0180303533856395e-07, 3.1445711634121753e-07
 -0.0, 1.163335991675592e-08, 2.9012188816589704e-07, 3.0180303533856395e-07
 -0.0, 1.0772103015699787e-08, 2.793065938300923e-07, 2.9012188816589704e-07
 -0.0, 1.000333846893888e-08, 2.6926350644379225e-07, 2.793065938300923e-07
 -0.0, 9.314840401555434e-09, 2.599106590323806e-07, 2.6926350644379225e-07
 -0.0, 8.694904178575194e-09, 2.511782044547454e-07, 2.599106590323806e-07
 -0.0, 8.134992952933101e-09, 2.4301196512413076e-07, 2.511782044547454e-07
 -0.0, 7.627779984514128e-09, 2.3535591805888658e-07, 2.4301196512413076e-07
 -0.0, 7.166855402252697e-09, 2.2816406972582858e-07, 2.3535591805888658e-07
 -0.0, 6.746850487063928e-09, 2.2139534571182977e-07, 2.2816406972582858e-07
 -0.0, 6.362680685465282e-09, 2.1501382751840185e-07, 2.2139534571182977e-07
 -0.0, 6.010356542386948e-09, 2.0899042513005905e-07, 2.1501382751840185e-07
 -0.0, 5.686454619915099e-09, 2.0328892644431255e-07, 2.0899042513005905e-07
